Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-3B-A9HI	0.0221071112749203	0	0.00212872374662563	0.117425893104044	0	0.0446925613770853	0.0548285301249822	0.028271117414789	0.0753784862119289	0	0.01077517493732	0.00930230065331656	0	0.219449425075162	0.089403080675119	0.254430727615941	0	0	0.068310901061737	0	0	0.0034959667270283	0.002	0.51716238906175	0.858163155860975
TCGA-3B-A9HJ	0.136355292434903	0.0507876317153556	0.215047187911787	0.0837233945816215	0	0.0467187023081269	0.00518293212987791	0.0796468009431223	0.122972347902697	0	0	0.0175987942742698	0	0.0592931420963665	0.0206748129170909	0.088240267066248	0	0	0.06109705448163	0	0	0.0126616392369032	0.002	0.490921620643267	0.870590499591114
TCGA-3B-A9HL	0.00243965513920274	0	0.00556372464103955	0.0466689565158876	0	0.214251043836634	0.000852709176386466	0.00629457993650785	0	0	0	0.0620835065902333	0.0905946086205389	0	0.0465539835575529	0.505051821678235	0	0.00127410210838166	0	0	0.012945030674805	0.00542627752459514	0.011	0.261950990180849	0.986870782126963
TCGA-3B-A9HO	0.0224859605904625	0	0.0191087474921878	0.19044212574496	0	0.0855866399924949	0.00416440649557758	0.0850757743461295	0.0646499266165689	0.0177450896343342	0	0.0470484743785254	0.0303830560172866	0	0.111720897635335	0.308906471963965	0	0	0.00527346515840491	0	0	0.00740896393376739	0.00800000000000001	0.280362986684994	0.976601588695275
TCGA-3B-A9HP	0.0171225682077247	0	0.0166546971762357	0.0731085776980811	0	0.182727289386105	0	0.0186615183749283	0.0680727219320789	0	0.0239744312770656	0.02541680497662	0.029432620794054	0.0451331102028736	0.103260948108102	0.300980701960495	0.0119795033018671	0	0.0834745066037687	0	0	0	0.034	0.183571238121628	1.01057389094093
TCGA-3B-A9HQ	0.0177278833032893	0	0.0140814511620126	0.083619347044943	0	0.271916346823316	0	0	0.0825331146493684	0	0	0.0183576572294221	0.0378991539211354	0	0.059304931642372	0.182806386566436	0.0226210176456243	0	0.209132710012081	0	0	0	0.03	0.188413674192213	1.00910680254761
TCGA-3B-A9HR	0	0.0622435494362167	0.0254678419954041	0.0433823317387742	0	0.404750381540408	0	0.00376490779703387	0	0	0.0692449067330414	0	0.0605607823988511	0.0165410766633724	0.00267234701459815	0.0595602396261824	0.0117590784999202	0	0.238255219471589	0	0.00179733708460832	0	0.097	0.116207070314827	1.0473308966316
TCGA-3B-A9HS	0.0467749752376665	0	0.0131794713034598	0.218148578534362	0	0.190529771113518	0	0.0646602671984709	0.11226035638398	0	0	0	0.0256225577657618	0.00385991006741297	0.104764509074328	0.190165499082449	0.00478860077445527	0	0	0.0225839132803048	0	0.0026615901838308	0.012	0.261105855669545	0.991535652822579
TCGA-3B-A9HT	0.0428950137766089	0	0.0807977812181751	0.221136698359163	0	0.0560398381237775	0.0567860870213018	0.0764698064542464	0.0329417997741144	0	0	0.00774596655015581	0.0243772049348972	0.0656206767349032	0.0764488821847529	0.21926908874673	0.0148154515024975	0	0.0246557046186764	0	0	0	0.019	0.218817540478338	0.995217868223899
TCGA-3B-A9HU	0.0356699243867108	0	0.0227706814111108	0.231152200163813	0	0.193662921783315	0	0.0208583794362259	0.104220241116945	0	0	0.00407933004596763	0.0452716566017724	0.0616347580193463	0.119598700665351	0.151628630898458	0	0	0.00945257547098503	0	0	0	0.086	0.122618346493266	1.05521693188622
TCGA-3B-A9HV	0.0218024975388083	0	0.0347781074268965	0.0341775816584429	0	0.275825138417247	0	0	0.0124264296578301	0	0.0431445716146381	0	0.0168774805792667	0.102563211238077	0	0.18145667425776	0	0.0474291991828219	0.219008277317603	0.0105108311106088	0	0	0.524	0.00898967631852769	1.07568686944695
TCGA-3B-A9HX	0.022230538407447	0	0.00363690391121649	0.025294505943369	0	0.19578333002317	0.0148917585796933	0.0184597110877176	0.0353737113909106	0	0.0449103262583704	0	0.0223395804348023	0.176538105632357	0.0205313719462131	0.119247767672268	0	0.113944093728023	0	0.139423173847166	0.00200807493791649	0.0453870461993596	0.011	0.263202959563836	0.979695973534026
TCGA-3B-A9HY	0	0	0.000250310385185475	0.0699204765387292	0	0.174317705564054	0.0397989807364244	0.0226163715202444	0.0303310544359472	0.0122419535976758	0	0.0226613711541204	0	0.110958151782172	0.134195077403093	0.252147497876374	0	0	0.13056104900598	0	0	0	0.005	0.329395344592215	0.949665634805169
TCGA-3B-A9HZ	0.0222276367603157	0	0.00688261025709612	0.142608986148607	0	0.193222825791898	0.0113655823130401	0.0339909903115521	0.0348925364077382	0.0110245514438269	0	0.0115372392944889	0.0334350355967021	0.00513279414040515	0.0664113724780687	0.280357813692849	0.0244450488249925	0	0.115852003335709	0	0	0.0066129732027103	0.034	0.183504038154226	1.00912233114511
TCGA-3B-A9I0	0.000880131568872286	0	0.00162469420201368	0.133171340094139	0	0.162199932507729	0	0.0327775762983807	0.0877708010441389	0	0	0.0348918110746154	0.0333214315236498	0.00905425309736016	0.0894575549879941	0.299731137563024	0.00181408265682443	0	0.113305253381258	0	0	0	0.003	0.423881826674612	0.904928963412528
TCGA-3B-A9I1	0.00314638708374125	0	0.00371484321043653	0.0469118088442583	0	0.226250173978357	0	0.018508026037634	0.066623634917342	0	0	0.0613537527419712	0.023773776565276	0.116388748169172	0.0431471902974091	0.287933850299171	0.00313390880890903	0	0.0971576728680512	0	0.0019562261782715	0	0.01	0.275012330295468	0.973292351823748
TCGA-3B-A9I3	0.0989062808876396	0	0.116406528023332	0.17401916409319	0	0.256145906897585	0	0.0261286620266888	0.0801675080337834	0	0.0452791316261384	0	0.0311400237557794	0	0.0124015459712946	0.0460664528391745	0	0.00855565123442813	0	0.0772904851471857	0.00201954769671196	0.0254731117670685	0.01	0.270114444528629	0.987507415356818
TCGA-3R-A8YX	0	0	0.00717901011169656	0.109417803922812	0	0.181036842924511	0.0150722178440931	0.0137952975728423	0.0444215253133455	0	0.0147792165846561	0	0.00474421656505766	0	0.0764854837221981	0.520451180443919	0	0	0.0124123436717257	0	0	0.000204861323142217	0.036	0.182606371654147	1.02533917296889
TCGA-DX-A1KU	0.0100547318064951	0	0	0.138109824393756	0	0.138335481514935	0.0387860696430412	0	0.0203897235480762	0	0.0301356854491269	0	0.0362745320376164	0	0.15467960952932	0.405215879027349	0	0	0.0274877638017277	0	0	0.000530699248556899	0.00700000000000001	0.297510001357107	0.969363956468485
TCGA-DX-A1KW	0.00449203904441608	0	0	0.0430319309713183	0	0.164559930760636	0	0.0054753560490266	0.0389839678294767	0	0.0237552177939729	0.0253553146214939	0.0992035649265256	0	0.034241297572146	0.488818799950074	0.00196877017869125	0	0.0628725379829904	0	0.00164365422607957	0.00559761809315204	0.0669999999999999	0.145187187352145	1.03509785568057
TCGA-DX-A1KX	0.0426996149313014	0	0.0371329586589982	0.0738661201666441	0	0.0757705861118153	0.000985307085825971	0	0.0438676428637638	0	0	0.0156176324636199	0.027966383987076	0.0941993728422247	0.111192800879543	0.425807242778859	0	0	0.0501506758635253	0	0	0.000743661366803859	0.041	0.166200199157936	1.02749490187151
TCGA-DX-A1KY	0.0131658054669101	0	0	0	0	0.382592247130257	0	0.0111510505160844	0.13110916458497	0	0.128407577654849	0	0.0348095696694786	0	0	0.236166183616971	0	0.0230345298304546	0.0348567372979554	0	0	0.00470713423207085	0.471	0.0165491936837209	1.10220091498783
TCGA-DX-A1KZ	0.0170418137717828	0	0.0012014428748948	0.115372046309095	0	0.105061077598751	0.0166372930929732	0	0.0150442553172915	0	0	0	0.109636291298153	0	0.00579347988362328	0.529646930372447	0	0	0.0845653694809893	0	0	0	0.005	0.337613282512652	0.949359487302038
TCGA-DX-A1L0	0.067329093373308	0	0.0041369378710191	0.0126717255988909	0	0.175416881857734	0	0.0228442967782877	0.0529085129207258	0	0	0.0917438499672989	0.0297607411753751	0	0.173326535808491	0.308825811472349	0	0	0.0610356131765198	0	0	0	0.037	0.176240274860542	1.02494541556392
TCGA-DX-A1L1	0.0523419609988704	0	0.0344973196137053	0.172450021021992	0	0.066274716260362	0.0399005599379234	0.0289981611568869	0.0473090982753385	0	0	0	0.0651290184195784	0	0.128141030220304	0.309120043218483	0	0.00187096460635479	0.0539671062702005	0	0	0	0.037	0.17469725986857	1.01454672985674
TCGA-DX-A1L2	0.0319681912240965	0	0	0.040445539663087	0	0.140357974576724	0	0.007969662147871	0.0111603947113961	0	0	0.045678822186795	0.0128107764833361	0	0.0911255414290092	0.489919850507179	0.0103767015877304	0	0.117861560576004	0	0	0.000324984906771136	0.021	0.215461265688957	1.00379170618984
TCGA-DX-A1L3	0.000489253268420317	0	0.00702543676057491	0.0806131540306851	0	0.111653945755232	0	0.0115115561657673	0.0840191047162017	0	0	0.0191439148233215	0.0227077278809415	0	0.102486163818498	0.371180870034197	0.0186887861273236	0	0.163147904231822	0	0	0.0073321823870147	0.004	0.378972084518448	0.925852127594658
TCGA-DX-A1L4	0.00481001607514607	0.00112543048867737	0.00916842625690587	0.0182240887601199	0	0.158130892922688	0	0	0.0181878620918654	0	0.01596296329829	0.0234293946217834	0.155533930312872	0.204297916942287	0.00241597944408247	0.299147952570911	0.00957601286746771	0.007259220665577	0.0212591163285742	0	0	0.0514707963527516	0.018	0.22211609322063	1.00688065141406
TCGA-DX-A23R	0.0994190120974046	0	0.0142622259150222	0.0253220275876857	0	0.236212050618103	0.0134867377325358	0.0550626122884107	0.0402961117334168	0	0.00667864908321417	0.00997897452598135	0.05458440359976	0.0107413164115988	0.107929588922416	0.240722495952427	0	0	0.0853037935320237	0	0	0	0.145	0.0910992380848699	1.04517587653715
TCGA-DX-A23T	0.0202773744744013	0	0.0691347082204068	0.123017167071164	0	0.189816988448689	0.0129095475057528	0.0193829216297144	0.0724981301421204	0	0	0	0.0863839161336304	0	0.0341751792932455	0.321282449431618	0.0122005888123397	0	0	0.025426676251758	0	0.0134943525851595	0.0659999999999999	0.14676754739358	1.02553777044133
TCGA-DX-A23U	0	0.00334377100852992	0	0	0	0.126141230344805	0.031513494247897	0	0.00351996165721528	0	0	0.0121257134798872	0	0.384978024510205	0.0708509503096372	0.339880712799744	0	0	0.0276461416420799	0	0	0	0	0.660156893602474	0.756716270479439
TCGA-DX-A23V	0.0276257695419539	0	0.00120950925555741	0.0296471321332508	0	0.141457344613836	0.0186834519142056	0	0.0426012104629865	0	0.0100821356368317	0	0.0818487211041338	0	0.0697477762241206	0.531852494652568	0.010474300636108	0	0.0254898231411044	0	0.00407048980582598	0.0052098408775169	0.003	0.459859995908847	0.887442071446375
TCGA-DX-A23Y	0.0170824962360421	0	0.0223132666015107	0.250247139812998	0	0.0881888221034997	0.041912863341945	0.0426145284468082	0.0659926681936035	0.0259940351614829	0	0	0.0052686822982932	0	0.114032215558855	0.32419225549698	0	0	0.0021610267479824	0	0	0	0.027	0.198857745103479	1.01621916839081
TCGA-DX-A23Z	0.0121868373899115	0	0.0108828946701503	0.092492470731905	0	0.131265847128246	0	0.00707472945797483	0.07189097727054	0	0	0.0246585902598496	0.0688606489103364	0	0.0966796975794914	0.3667329098124	0	0	0.117274396789195	0	0	0	0.262	0.0520535510616821	1.06413926513281
TCGA-DX-A240	0.0090905059464433	0	0.00214681793805595	0	0	0.08735010182895	0	0.00933266516279282	0.0470007961025119	0	0	0.0617616314311888	0	0.469263498495265	0.00145831466078516	0.268141076883505	0	0	0.0444545915505015	0	0	0	0.033	0.184399264846448	1.0627066748096
TCGA-DX-A2IZ	0.0111999034293029	0	0	0.0451503614968719	0	0.149474987703512	0	0.0789556144944554	0.0131491631799241	0	0.00471965670903291	0.0764728184795936	0.074948400609526	0.314238608167993	0.064307875510444	0.14699825918308	0	0.00981739815898101	0.0105669528772831	0	0	0	0.219	0.0642979359595747	1.08028527990907
TCGA-DX-A2J0	0.197137184878792	0	0.199118315454581	0.0932832607225949	0	0.11473796337308	0.0509035603922093	0	0.0637910618576135	0	0	0.00876477607454472	0.0183416516239841	0.00651490706855473	0.0286956944993518	0.0931339687004555	0	0	0.119682439157861	0	0	0.00589521619637784	0.002	0.482263079031017	0.875354583270631
TCGA-DX-A2J1	0.0185129588369836	0	0.0100180691261461	0.0664131627982859	0	0.132336329857804	0	0	0.0591352417701488	0	0	0.0426163741615877	0.0743254253708188	0	0.0171403999972887	0.463702318232255	0.00850675857878419	0.00204695457094917	0.100534496579444	0	0	0.00471151011950327	0.014	0.246775440901546	0.986574133836991
TCGA-DX-A2J4	0.0178079715749551	0.00290509477349904	0.0514401579982368	0.048260664729213	0	0.118791690818119	0	0.0380103979546082	0.0252140153123512	0	0	0.0337603760745221	0	0	0.0368478161280932	0.159203705789825	0.00825090391461227	0	0.455829257404646	0	0	0.00367794752731936	0.013	0.255895217318469	0.996322659440074
TCGA-DX-A3LS	0.0406964013763555	0	0.00300488567548511	0.101673413665467	0	0.253079814135188	0.03543087322665	0.0218162806019244	0.0309997829132177	0	0.0239758202526894	0	0.0290720726747822	0.0149874083241652	0.0668809805155828	0.368437022905705	0	0	0.00994524373278725	0	0	0	0.003	0.4205930830167	0.906776783922742
TCGA-DX-A3LT	0.00889285307935192	0	0	0.0935593953073926	0	0.0992777216507945	0.00441452048935287	0.0289781274806819	0.0532321281292098	0.00287401953936183	0	0	0	0.130033458515712	0.0510515297769123	0.330676840052357	0	0	0.197009405978874	0	0	0	0	0.540039291441862	0.847749512756987
TCGA-DX-A3LU	0.0335519372268125	0	0.0948306461854044	0.151517284829652	0	0.00674777037262267	0	0.0371027145027818	0.0918692648252782	0.0305224631018341	0	0.0880032776350454	0.0343158595577966	0.0295117089315219	0.130969724440052	0.239923122678313	0	0	0.0311342257128858	0	0	0	0.018	0.222010624739013	1.00083058931919
TCGA-DX-A3LW	0.131243902597565	0	0.0601255489175685	0	0	0.0876984226457841	0	0.00472940080875444	0.0196554673458469	0	0	0.0473299046614321	0.0347885492694857	0	0.0881193729390294	0.385917425703376	0	0	0.140392005111158	0	0	0	0.00700000000000001	0.296278967837659	0.962912655059386
TCGA-DX-A3LY	0.00813306379438923	0	0	0.0203316460107425	0	0.132140453428523	0.00962543559513166	0	0.0269149631866689	0	0.0151712494778465	0.00248481805224832	0.00867086904503672	0	0.00645156696558728	0.696329950925658	0	0.00498908386993514	0.0476324588460641	0	0	0.0211244408021687	0.002	0.511704235548838	0.859161594552739
TCGA-DX-A3M1	0.00568278939643233	0.00819050339241718	0.000646016723283727	0.00782717602624788	0	0.066422831115522	0	0.0093880471600248	0.0642398023166037	0.00191201124209019	0	0.0168175590508182	0	0.376603540918279	0.0598052615435601	0.366273346735522	0	0.00127048041695172	0.0129464630646608	0	0	0.0019741708975871	0.001	0.527011880512697	0.850855298713535
TCGA-DX-A3M2	0	0.0157181510089188	0	0.125470536839774	0	0	0	0.0407505106978479	0.0143828670558927	0.0320973494447979	0	0.0614597876705249	0.0132905814876088	0	0.0450194548224834	0.520367467326837	0.0110624056265881	0.00467445431126091	0.103202715888696	0	0	0.012503717818769	0.073	0.133138147865621	1.04316197212562
TCGA-DX-A3U5	0.0207397343464486	0	0.000614632343536819	0.0224914666926794	0	0.114700637150526	0	0	0.0203615190630457	0	0.0262394423983905	0	0.189028185469623	0	0.0375304283018537	0.535644713483833	0	0	0.0326492407500634	0	0	0	0.004	0.364304450058091	0.93913462712809
TCGA-DX-A3U6	0.034429955770644	0	0.0705739689046615	0.301574525792503	0	0.0702449985285821	0.0634013289388674	0.0395302949133192	0.0623117540289943	0	0	0	0.0213043826094942	0	0.100541276928994	0.175097082616013	0.019794640171152	0	0.0317974106701945	0	0	0.00939838012658134	0.033	0.184738494129047	1.01736977162469
TCGA-DX-A3U7	0.0558590182024628	0	0.0225931619737946	0.0426870984797854	0	0.287299322726715	0	0.0121117340304615	0.0433627566464766	0	0.0358119294564005	0.0563366019246009	0.0363718554217836	0.0973775493939886	0.0688845188804649	0.21365721774821	0.00779115430752177	0	0.0198560808073344	0	0	0	0.012	0.257471595931638	0.981258852284651
TCGA-DX-A3U8	0.00996139089132456	0.00230207888769408	0	0.08430611865315	0	0.176013565498211	0	0.000183560500088431	0.0734197664411582	0	0.0296436535522045	0	0.113179880880177	0	0.0680624744766397	0.386166623457493	0.00494957876806288	0	0.0373292261740366	0	0	0.0144820818197599	0.016	0.233069320257088	0.992336058589246
TCGA-DX-A3U9	0	0.00542146731133905	0.00160225313825484	0.0620744411953697	0	0.224426270616964	0	0.0148506711646168	0.012002423003353	0	0.0624917494031353	0.0622405452966793	0.017233747909942	0.167211140690645	0.0330318608103788	0.213174291357124	0	0	0.124239138102198	0	0	0	0.476	0.0159762322465998	1.08435668646768
TCGA-DX-A3UA	0.00482921148020038	0.00445871624342496	0.00577845916952257	0.0349099841436654	0	0.016603103914458	0.0504186465739432	0.0159818155189062	0.0650221756646384	0	0.0466899565217083	0	0	0.475700009376151	0.0438340988925271	0.183053261744643	0.00478709810825871	0	0.0479334626479522	0	0	0	0	0.71675590388212	0.715404392858706
TCGA-DX-A3UB	0.0117956230871135	0	0.0113870740113594	0.0793407057389097	0	0.230855030781115	0	0.000781471819344129	0.106735530865917	0	0.00673117504986473	0.00976954354324728	0.0472870877807321	0	0.0282470303538334	0.360665041038674	0.00267915919608475	0	0.103725526733805	0	0	0	0.258	0.0528157907856396	1.06613322343696
TCGA-DX-A3UC	0.0415299551191137	0	0.027693149401529	0.0891377229271489	0	0.202865221739032	0	0.024329140108543	0.062700601699078	0.00173011948230082	0	0.015167405500074	0.037939228538691	0	0.0343040950599453	0.258216372348064	0.081667916923379	0.00712254960795518	0.115596521545146	0	0	0	0.011	0.263148947176688	0.972786967010581
TCGA-DX-A3UD	0	0	0.0117319503612175	0.0719954277298016	0	0.196048017802139	0.0239322201641229	0.0143566704760658	0.0847231107523269	0.0349874236390298	0	0.00870580704004378	0.00949773089899217	0	0.0946271231517401	0.22255704698912	0.0902994607673522	0	0.136538010228048	0	0	0	0.013	0.256376361476771	0.977872925384897
TCGA-DX-A3UE	0.00911787921129852	0	0	0.0259626605248734	0	0.158250787252701	0	0.0142622711649798	0.0717541631452426	0	0.0439574094403461	0	0.105095022559623	0	0.050773158293306	0.429153604005534	0.0553129517450326	0.00588606588934941	0.0296185643427808	0	0.000855462424933214	0	0.165	0.0823074266276789	1.05745633434068
TCGA-DX-A3UF	0	0	0.00250955064177003	0.119775265385568	0	0.0585367623067612	0	0	0.095595461527783	0	0.00682631258824146	0.027863618394425	0.0155628864727786	0	0.337213262443014	0.185700857705007	0.0187295643767882	0	0.131686458157863	0	0	0	0.003	0.454081762717321	0.90445932139103
TCGA-DX-A48J	0.00952681696755462	0	0.00208758019512714	0.0569295662621149	0	0.2110088885806	0	0.0024766110452629	0.0482669248444425	0.00429184489610704	0	0.0697656086659496	0.0077458432804136	0	0.0638114138433606	0.118191307462916	0.0227374116355266	0	0.383160182320625	0	0	0	0.016	0.233716872458587	1.00271688269491
TCGA-DX-A48K	0	0.00252811820555312	0.000570742008763395	0.0801987119251647	0	0.164424617242506	0	0.0455610933452044	0.0432832651084556	0	0.00172619677670311	0	0.0557109387068681	0	0.0333144330151017	0.469763292728922	0	0	0.102918590936757	0	0	0	0.085	0.123156536835244	1.04236224727999
TCGA-DX-A48L	0.00528985276364015	0	0	0.0748713974487346	0	0.243971425932101	0	0.0144957943214224	0.0733877408339817	0	0.0349788535129197	0	0.0212061503559696	0	0.119771203670979	0.295941669382815	0.0490824921041825	0	0.0670034196732548	0	0	0	0.212	0.0683857760517133	1.0636520455498
TCGA-DX-A48N	0.036011667807436	0	0	0.0180909105412029	0	0.143751987648489	0	0	0.01835776795953	0	0.0175565240741092	0.00499793567951575	0.12802922463881	0	0.05733990608375	0.493988064824028	0	0.0275223551777257	0.0543536555654029	0	0	0	0.113	0.104809284956081	1.05425847633342
TCGA-DX-A48O	0.0137449351019694	0	0.00728504116140351	0.162045182983965	0	0.155389053608532	0	0.0368690452010054	0.0518075751379184	0	0	0.00279285646378155	0.00969104458362622	0	0.120816734753052	0.117259864573996	0.0739550177213587	0	0.248343648709393	0	0	0	0.021	0.215329766539517	1.00131525230145
TCGA-DX-A48P	0.0104394694659515	0	0.0147987247684579	0.0936852880386288	0	0.203843123426873	0	0	0.0734086015494822	0	0	0.0216513515067662	0.0217360610582423	0	0.0738997129127291	0.232957736515877	0.0156467184878696	0	0.237933212269123	0	0	0	0.0669999999999999	0.146484697809896	1.02577363260543
TCGA-DX-A48R	0	0.0212486757486704	0.00630108238605257	0.0220900658729965	0	0.295325942564083	0	0.00913372325546215	0	0	0	0.0491166903836199	0.0809979201027945	0	0.0830393711962747	0.382699520075092	0	0.0241295153774804	0.0259174930374742	0	0	0	0.259	0.0523235251684266	1.07023070640947
TCGA-DX-A48U	0	0	0.0011290803175746	0.053409417100878	0	0.218709221385046	0	0.000322190302504449	0.0225489948351165	0.00499661508797744	0	0.0483139338291646	0.00271023184646791	0	0.0346131763171677	0.357097654120689	0	0.0240342370709602	0.232115247786454	0	0	0	0.243	0.0558893472225073	1.06544947149515
TCGA-DX-A6B7	0	0	0.00225324488413469	0.0989474458580037	0	0.118120390631466	0	0.00359777113251003	0.00649353622266983	0	0.0499126804920463	0	0.017726725276853	0	0.0321487556603852	0.284442796821847	0	0.00566492718482447	0.38069172583526	0	0	0	0.096	0.11682385728636	1.05356757486116
TCGA-DX-A6B8	0.00312423775278117	0	0	0	0	0.205599686451789	0	0.0186092261617285	0	0	0.0412422580858965	0.0437192988440193	0.0131770102379574	0.380742825931208	0.000681885817486053	0.220424243267795	0	0	0.0726793274493401	0	0	0	0.129	0.0972268120369791	1.07979242234634
TCGA-DX-A6B9	0.00534578577880355	0.0177878215625605	0	0.0436044629637359	0	0.250078442542719	0	0	0.0739375666791549	0	0	0.100682943536862	0.0195899704575546	0	0.0262160030281586	0.142772216438379	0.0284331941021681	0	0.291551592909905	0	0	0	0.139	0.0930362546660519	1.05863413658901
TCGA-DX-A6BA	0.00652643385725344	0	0.00293685590352622	0.0414462193970596	0	0.18167988854258	0	0.0155246849540713	0.0388539817659566	0	0	0.00256307480389315	0.330954858408203	0	0.00986206788117028	0.213613956860337	0.00193212557125654	0	0.154105852054693	0	0	0	0.073	0.133268758198372	1.03553523618237
TCGA-DX-A6BB	0.0610245245596671	0	0	0.0298311569430232	0	0.198872871561474	0	0	0.0390888630266374	0	0.0172888777227623	0.0101576652230086	0.0987679531804283	0	0.148664255152399	0.206019585266984	0.0175734833822309	0	0.172710763981385	0	0	0	0.24	0.0579901664411453	1.0607309693622
TCGA-DX-A6BE	0.0304292949613931	0	0.00523498001080329	0.168892556910527	0	0.115163071431346	0.0362877874629849	0.0133848008264314	0.0663519118092395	0	0.0367899959413064	0	0.0274276986400563	0.0205377318476157	0.145348685277596	0.295429119124165	0.00798261973883441	0	0.0307397460177019	0	0	0	0.027	0.199101091591671	1.01142474047771
TCGA-DX-A6BF	0	0.00249973323410474	0	0.0623973150056102	0	0.144392732393538	0	0.0235220143592426	0.0133856633746355	0.0172949407682638	0	0.0600685811162969	0.104245338212934	0	0.0514481273717059	0.511738290699878	0	0	0.00900726346378974	0	0	0	0.0669999999999999	0.146267349372111	1.04182044560972
TCGA-DX-A6BG	0.139644073494221	0	0.0345049235647431	0.153231752047709	0	0.166531569695408	0.02070962184005	0.0240273209236607	0.0668532614500051	0	0	0.00741272226636459	0.0123665201268727	0.131438741615174	0.0762283391742928	0.16066419013002	0	0	0.00638696367147908	0	0	0	0.003	0.43582983637421	0.899198761930683
TCGA-DX-A6BH	0.0291285597307948	0	0.00244833460823888	0.0181417695648213	0	0.242185199768359	0	0.0208991873780358	0.04268975575522	0.00337799930784532	0	0.00825062494970514	0	0.188122542991302	0.0876025733935677	0.283378642019257	0	0	0.0737748105328523	0	0	0	0.01	0.272612791989785	0.977432210996314
TCGA-DX-A6YQ	0	0	0.00223074307548741	0.191982538470891	0	0.137743138906299	0.00778452177914256	0.0147039325391088	0.0420539542710058	0	0.00813511000613274	0.0215407633293606	0.0121176193199293	0.00707836215592933	0.205644060390876	0.266152566241381	0	0.0320671978846017	0.0507654916298549	0	0	0	0.002	0.478923325686895	0.877720105618804
TCGA-DX-A6YR	0	0.0247511887292232	0.000955793541807492	0.0736725504842249	0	0.134877460548553	0	0.00989712767216425	0.033494193993723	0	0	0.0402925947302395	0.0429995880481105	0	0.0716834354867392	0.454116887633736	0.00660000917391751	0	0.106659169957562	0	0	0	0.00600000000000001	0.304114101104846	0.960949196073455
TCGA-DX-A6YS	0.00828042181817716	0	0.00470144542918696	0.0429454959050547	0	0.232177456345445	0	0	0.0951598283867817	0	0	0.00458290882442643	0.0232866726927327	0	0.177417365467991	0.216568488771767	0.0258043258533374	0	0.169075590505101	0	0	0	0.0570000000000001	0.154077726757498	1.03259010101884
TCGA-DX-A6YT	0.00185158856704095	0.00037773504977627	0.000980179095520497	0.0601065921459995	0	0.128377275279398	0	0.0104269062973094	0.0683424775038979	0	0	0.0581037612044667	0.0461164874339352	0	0.0736702706162267	0.451192386796579	0.0146619652494716	0	0.0857923747603777	0	0	0	0.026	0.201004268170861	1.00835263861433
